name,address,gu
"비쥬얼박스","부산광역시 남구 시 남구 용소로38-1, 2층 (대연동)","남구"
"산청옹기골 얼음막걸리","울산광역시 울주군 온산읍 신호7길 63","울주군"
"박행님헤어샵","경기도 수원시 팔달구 정조로 797-2 (팔달로2가) 101, 102호","수원시"
"강원도위가열탄불고기","경기도 용인시 처인구 양지면 남평로 76-4","용인시"
"온다젤라또 본오점","경기도 안산시 상록구 샘골로 119 (본오동) 106-7호","안산시"
"꽃게담다by 블리베리팜 배곧점","경기도 시흥시 서울대학로264번길 26-32 (배곧동) 115, 116호","시흥시"
"우각골 한우곰탕","경기도 시흥시 월곶중앙로 38 102, 103, 104, 105, 106호","시흥시"
"찬찬헤어","강원특별자치도 영월군 영월읍 관풍헌로 26","영월군"
"주중이발관","충청북도 청주시 상당구 대성로 169-5 (수동)","청주시"
"이원사회적협동조합 이원주민쉼터 내일로","충청북도 옥천군 아메리카노","옥천군"
"모시원","충청남도 서천군 한산면 한산모시길338번길 21","서천군"
"갯마을식탁","충청남도 태안군 원북면 원이로 8081층","태안군"
"한솥밥뚝배기","전북특별자치도 정읍시 중앙로 2","정읍시"
"매안정","전라남도 순천시 매안1길 15-3","순천시"
"서울왕족발치킨","경상북도 경주시 건천읍 작원1길 5 1","경주시"
"올래회어촌 제주이호테우점","제주특별자치도 제주시 태우해안로 166","제주시"